Année;Nom région;Code région;Domaine de tension;Nb sites Photovoltaïque Enedis;Energie produite annuelle Photovoltaïque Enedis (MWh);Nb sites Eolien Enedis;Energie produite annuelle Eolien Enedis (MWh);Nb sites Hydraulique Enedis;Energie produite annuelle Hydraulique Enedis (MWh);Nb sites Bio Energie Enedis;Energie produite annuelle Bio Energie Enedis (MWh);Nb sites Cogénération Enedis;Energie produite annuelle Cogénération Enedis (MWh);Nb sites Autres filières Enedis;Energie produite annuelle Autres filières Enedis (MWh);geom;Geo Point 2D
2011;Provence-Alpes-Côte d'Azur;93;HTA;90;182032,8285;4;49648,276;72;346679,9623;14;317526,1355;47;256690,629;3;108,909;;
2011;Bretagne;53;HTA;15;5410,937205;96;1110337,353;19;10547,95437;13;130674,6369;24;212022,2171;9;1417,108;;
2012;Occitanie;76;HTA;239;382602,8071;83;1570395,602;460;1069959,405;18;375336,1425;23;271361,3444;16;925,2138767;;
2013;Hauts-de-France;32;HTA;14;29988,479;169;3020366,557;9;3463,448125;27;404631,2343;67;646761,9388;6;79,765;;
2013;Nouvelle-Aquitaine;75;HTA;103;316270,0899;21;366897,2886;216;674639,3412;21;222811,482;41;209716,7562;12;470,597;;
2013;Pays de la Loire;52;HTA;28;30175,22779;59;983117,6391;21;11399,1009;20;305654,3249;52;387204,9682;1;3,714;;
2013;Centre-Val de Loire;24;HTA;7;21035,515;55;1140563,989;16;54687,28235;14;244151,5392;27;239575,5272;0;0;;
2014;Nouvelle-Aquitaine;75;HTA;141;508965,5655;24;426928,8982;222;647709,156;27;247363,2847;38;180398,9831;12;556,45;;
2014;Hauts-de-France;32;HTA;14;29600,905;198;3352412,886;9;3461,071;31;404914,1434;66;568146,7153;6;486,311;;
2015;Hauts-de-France;32;HTA;13;29864,392;225;4577737,701;9;3168,092641;34;435955,8364;64;538672,348;6;337,989;;
2016;Nouvelle-Aquitaine;75;HTA;180;1030118,686;29;511650,841;225;606197,1486;34;380453,239;44;247029,089;13;1500,628;;
2016;Provence-Alpes-Côte d'Azur;93;HTA;200;862508,152;6;61409,396;88;410046,044;22;439586,895;50;299922,148;10;2415,184;;
2016;Île-de-France;11;HTA;9;17007,636;4;60738,825;5;57747,989;31;808001,659;77;1053889,679;1;131,773;;
2017;Pays de la Loire;52;HTA;46;81168,707;89;1349431,576;24;8772,562;31;321859,306;68;467507,623;3;19069,169;;
2017;Auvergne-Rhône-Alpes;84;HTA;110;337217,602;62;960684,227;366;1260777,406;37;655472,081;68;496409,108;15;9491,053;;
2019;Hauts-de-France;32;HTA;16;42389,60483;347;7394648,332;10;3560,4385;41;548125,2344;78;652843,0852;3;27758,71933;;
2019;Occitanie;76;HTA;399;1351185,446;128;2538503,071;476;1126677,761;26;451989,449;30;219205,5396;16;414,2725;;
2020;BOURGOGNE FRANCHE COMTE;27;HTA;152;136384,0136;82;1794432,785;147;214589,4641;33;171106,6845;37;286680,9758;5;2199,002597;"{""type"": ""Polygon"", ""coordinates"": [[[6.0640056273, 46.4162225589], [6.0739298929, 46.4639495344], [6.1564422358, 46.5454715912], [6.1107441528, 46.5763142086], [6.285325501, 46.691242033], [6.4381050836, 46.7617512189], [6.4645775076, 46.8902105345], [6.4326749211, 46.928605526], [6.6403417207, 47.0027611232], [6.7140545271, 47.049123354], [6.7399139142, 47.1080518288], [6.858344423, 47.1643854504], [7.0622006909, 47.3441603874], [7.0161749063, 47.3718345054], [6.9173061224, 47.3561744498], [6.9831161167, 47.4933020082], [7.1303408019, 47.5030285676], [7.0862717367, 47.5925648489], [7.0049789727, 47.6193792719], [7.0463174146, 47.6715016173], [7.0159618971, 47.7432299961], [6.8634725872, 47.7851573658], [6.8428287756, 47.8129072404], [6.6455373161, 47.9040227789], [6.6017847199, 47.9444003341], [6.4786058642, 47.8855216539], [6.3661530483, 47.961943699], [6.2379829343, 47.9328404134], [6.1679889958, 47.9523529808], [6.1560578217, 48.0069431591], [6.072558604, 48.0156690501], [6.002266013, 47.9560886962], [5.9475278159, 47.9797120211], [5.8214368328, 47.8681778255], [5.690284568, 47.8186020602], [5.6900715815, 47.6848342602], [5.4063403298, 47.6734034974], [5.3547654342, 47.5913602933], [4.9791098414, 47.6877636902], [4.949605095, 47.7650062174], [4.9824009031, 47.8003509814], [4.9540995648, 47.8667671584], [4.7890783024, 48.0078285635], [4.5826732521, 48.0294627734], [4.5599635427, 47.9714241662], [4.4490036625, 47.9571519812], [4.1991540335, 47.9699414426], [4.1117817873, 47.9269983942], [3.9020918728, 47.9391682322], [3.8500279608, 47.9837915161], [3.8049696873, 48.1025468506], [3.7402966514, 48.1697095978], [3.6678669028, 48.1392110181], [3.6168016799, 48.2713435109], [3.4981541228, 48.3690980878], [3.4147888225, 48.3902685491], [3.3651606302, 48.3722824814], [3.0495229428, 48.3601167542], [3.0436326434, 48.2720205552], [2.9363157566, 48.1633917439], [3.0294681735, 48.1332044709], [3.1284487901, 47.9709768406], [3.0102886119, 47.9047169714], [3.0237994278, 47.7865501777], [2.8566700654, 47.7609291749], [2.8585167014, 47.7119910893], [2.9542289513, 47.6457741855], [2.9644517577, 47.5816323573], [2.848901233, 47.5375413406], [2.9288970093, 47.4445649313], [2.8734919392, 47.3483968596], [2.9834001334, 47.2597658796], [3.0280905153, 47.129064982], [3.0232191914, 47.0626123702], [3.0757442613, 47.0191481755], [3.0680961069, 46.8776803311], [3.0320629441, 46.7949093883], [3.0490666681, 46.7580807412], [3.2155446436, 46.6828927541], [3.2697959512, 46.7167418189], [3.3467035851, 46.6844181611], [3.4341396009, 46.7119078427], [3.4871533163, 46.6582561554], [3.5980006526, 46.7239834974], [3.6969575528, 46.660583033500004], [3.743289313, 46.5675652623], [3.890466581, 46.4812464575], [3.9980402829, 46.46546398], [3.9866271252, 46.319195576], [3.891238685, 46.2852461633], [3.8901309722, 46.214487049], [3.9887880884, 46.1698052603], [4.1040867377, 46.1983913581], [4.2610250986, 46.1787543635], [4.3893979879, 46.2136013601], [4.4058135315, 46.2960578056], [4.5039940949, 46.2671324622], [4.6185580581, 46.2647938946], [4.693109857, 46.302197476], [4.7305257875, 46.1783685849], [4.7802082627, 46.1766762027], [4.9400218107, 46.5171993736], [5.0523715346, 46.4848737906], [5.2011399666, 46.5082114048], [5.2150628404, 46.4683592975], [5.309835262, 46.4465639898], [5.4730515404, 46.2650665471], [5.542034019, 46.2702037948], [5.649344508, 46.3394945111], [5.72518184, 46.2607319348], [5.9089357777, 46.2839507856], [6.0640056273, 46.4162225589]]]}";47.2339113295, 4.80735856089
2011;Centre-Val de Loire;24;HTA;6;6158,737462;47;885592,4503;17;18566,00231;10;176539,647;28;327948,114;0;0;;
2011;Nouvelle-Aquitaine;75;HTA;67;130058,389;17;237676,4885;223;410589,282;14;110669,4016;50;349879,1958;10;274,9992632;;
2012;Nouvelle-Aquitaine;75;HTA;94;296359,7427;19;347966,136;226;519206,8872;19;182338,8654;42;305319,3394;12;614,3568957;;
2013;Normandie;28;HTA;10;26439,705;54;967696,9258;31;115407,6768;15;88350,65;39;385091,3414;11;212,634;;
2014;Bretagne;53;HTA;19;19198,991;113;1394369,376;19;18615,123;31;231664,4604;36;284033,3069;14;687,1863684;;
2014;Occitanie;76;HTA;285;651071,8783;90;1698903,087;461;1298198,898;20;375721,0367;19;184059,6997;16;846,0683333;;
2015;Bourgogne-Franche-Comté;27;HTA;14;35482,24039;40;695616,5601;130;206487,5918;15;130318,232;18;196804,9508;9;414,864;;
2015;Pays de la Loire;52;HTA;38;62862,14097;68;1222369,48;26;16195,7547;25;291228,599;55;402186,868;2;15496,84;;
2015;Bretagne;53;HTA;19;18917,663;116;1648768,145;19;17298,517;35;248701,9838;51;377755,1855;18;985,2539157;;
2015;Centre-Val de Loire;24;HTA;9;36023,72983;59;1331098,799;16;32115,56973;21;350068,3785;29;197860,5473;0;0;;
2017;Nouvelle-Aquitaine;75;HTA;220;1198246,182;37;555046,347;225;493014,007;37;408071,488;50;323755,044;12;19382,312;;
2017;Normandie;28;HTA;11;32135,809;81;1290584,774;31;115566,934;27;118696,365;43;443915,507;3;298,016;;
2018;Provence-Alpes-Côte d'Azur;93;HTA;232;934274,299;5;58141,61433;93;416368,943;22;424481,1143;55;414934,6952;9;803,0553333;;
2018;Occitanie;76;HTA;366;1124320,925;117;2182421,818;479;1449445,534;25;420631,8148;24;191992,6305;15;995,133;;
2020;NORMANDIE;28;HTA;83;71324,72165;96;2052394,675;31;110685,303;44;165840,3617;55;491716,5852;5;70,33464874;"{""type"": ""Polygon"", ""coordinates"": [[[0.7976584164, 48.1944549651], [0.8304836557, 48.2107087286], [0.7621943025, 48.3068766386], [0.9422460342, 48.3990048437], [0.9665514626, 48.522741687], [0.8506353644, 48.5826257083], [0.8124167297, 48.6678410643], [0.9614442076, 48.7257221363], [1.1847360438, 48.772630245], [1.3195444496, 48.7609614404], [1.3621823367, 48.8341799202], [1.4683545148, 48.8922155976], [1.5015266013, 48.9410518412], [1.4577570077, 49.0262945711], [1.5217716034, 49.0685466922], [1.6233233619, 49.0860784034], [1.7043588288, 49.2321972209], [1.7756247174, 49.2996936786], [1.7227989638, 49.4330579386], [1.7663409121, 49.466149422], [1.7045833965, 49.6053971426], [1.6895744512, 49.6947874273], [1.7579284899, 49.780795399], [1.6784507674, 49.9181305679], [1.3796981484, 50.0650118895], [1.1943755832, 49.9680332609], [1.0658975355, 49.9256093006], [0.5729387624, 49.8497170503], [0.3205558385, 49.741550113], [0.2116690274, 49.7144642788], [0.0656094311, 49.5125747793], [0.12123967, 49.4631943689], [0.1103853621, 49.3942656611], [-0.0133700092, 49.3212043446], [-0.2256948452, 49.2818195872], [-0.4148499724, 49.3355810035], [-0.7222446785, 49.3470042921], [-0.9393818728, 49.3950413996], [-1.0782159992, 49.3884935509], [-1.18253211, 49.4240175935], [-1.306359568, 49.538928237], [-1.229596734, 49.6246537752], [-1.2878440862, 49.6925958157], [-1.4211648985, 49.7037063173], [-1.541576095, 49.6541120045], [-1.6783904495, 49.6612334362], [-1.9422468301, 49.7255579265], [-1.9461839216, 49.6743435916], [-1.8602959829, 49.6501938538], [-1.8410258497, 49.5717334942], [-1.885691206, 49.5403898443], [-1.8267734463, 49.452912708], [-1.8198270387, 49.3904819399], [-1.7111719729, 49.3250946361], [-1.5988469664, 49.1692004187], [-1.6094145765, 49.0792816023], [-1.5607098811, 49.0014809583], [-1.594149551, 48.8347154532], [-1.5744027819, 48.7518505016], [-1.4491592197, 48.6234165134], [-1.571089438, 48.6264411481], [-1.4899417998, 48.4893723567], [-1.3772457352, 48.4582827533], [-1.2722481273, 48.5339203309], [-1.2065516679, 48.5422060873], [-1.0701643749, 48.5084920165], [-0.8598848426, 48.501426304], [-0.7572771527, 48.436552496], [-0.6540003356, 48.444278312], [-0.5050615508, 48.5057988275], [-0.3676233889, 48.4929443142], [-0.1693787826, 48.5369731561], [-0.1487176348, 48.4580692239], [-0.0518905893, 48.4532554132], [0.0624898723, 48.3822138672], [0.1162476859, 48.4355556594], [0.2958558882, 48.4801748598], [0.3639563299, 48.4516317207], [0.3826098968, 48.3338284113], [0.4875765403, 48.3077958582], [0.5359704949, 48.2498445592], [0.6832196691, 48.2485882219], [0.7378296384, 48.1890696268], [0.7976584164, 48.1944549651]]]}";49.1190525264, 0.102048629624
2020;PROVENCE ALPES COTE D AZUR;93;HTA;498;1290126,529;5;49031,84067;95;558830,2011;23;437616,984;70;389290,8678;6;2119,704333;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[4.8922711847, 44.3616338133], [4.8816338902, 44.3248670699], [4.9785833048, 44.2974612378], [5.0157545107, 44.3927671368], [4.970437559300001, 44.4313672262], [4.8922711847, 44.3616338133]]], [[[4.230280885, 43.4601836607], [4.5549165863, 43.4462132742], [4.5627978196, 43.3721349418], [4.6617842756, 43.3464105268], [4.855044891, 43.3326185156], [4.8668499113, 43.4046781358], [4.967710382, 43.4261003317], [5.0410400765, 43.3272848302], [5.2405905351, 43.3317125973], [5.3110302222, 43.3608799965], [5.3620502254, 43.3219602504], [5.3636491662, 43.2071221057], [5.5369302938, 43.2144900752], [5.6008948126, 43.1625455123], [5.8127322116, 43.1093671562], [5.8574553138, 43.0466188736], [5.9412493839, 43.1076610876], [6.0314352379, 43.0774752593], [6.1240517993, 43.0793065063], [6.2652965375, 43.1210410225], [6.3682566797, 43.0899148717], [6.3875680182, 43.1449002533], [6.4934958462, 43.1502237294], [6.5596377555, 43.1886326376], [6.6355350266, 43.1725094483], [6.6773068762, 43.2787948266], [6.6659564384, 43.3182198338], [6.7398086752, 43.4128823868], [6.8594727968, 43.4181595273], [6.9179721529, 43.4477385354], [6.9718325906, 43.5454512967], [7.0404439377, 43.5415827815], [7.167665965, 43.6574016693], [7.3202887346, 43.6913287584], [7.5285185561, 43.7905176385], [7.4954411095, 43.8643557376], [7.567110139, 43.943674367], [7.6485982666, 43.9741095217], [7.7169378582, 44.0817628953], [7.6708532381, 44.1537368549], [7.5057396588, 44.1436488514], [7.4269527802, 44.1128748007], [7.2819657634, 44.1434486084], [7.1889131681, 44.197800735], [7.0080588995, 44.2364345184], [6.9934466941, 44.280889629], [6.896505442200001, 44.3743014339], [6.8540144372, 44.5291251133], [6.9335092809, 44.5759534545], [6.9870611833, 44.690137664], [7.0771048243, 44.6809149504], [6.9995699131, 44.7894438587], [7.0067725151, 44.8393160124], [6.8598658044, 44.8529034284], [6.7497507151, 44.9073593446], [6.740812155, 45.0167327729], [6.6738842245, 45.0196184393], [6.629992302, 45.1093249629], [6.4812555477, 45.0941389526], [6.3939107243, 45.0618177266], [6.3312951655, 45.1181238659], [6.2293919346, 45.1087499444], [6.2039233205, 45.012471073], [6.3182021616, 45.0038593611], [6.3588423782, 44.9412807958], [6.3553625022, 44.8547753527], [6.1362266704, 44.8640718192], [6.0563403817, 44.8159074308], [5.9495216337, 44.8045273557], [5.8503937497, 44.7507473724], [5.7906236817, 44.6532929048], [5.649631118, 44.6178846055], [5.5972525724, 44.5432736382], [5.6036448321, 44.4655424452], [5.5133416154, 44.4911259904], [5.4185330628, 44.424944615], [5.4930701488, 44.3371739495], [5.6315982014, 44.3283057155], [5.6844936764, 44.1927530534], [5.5761919645, 44.1880370346], [5.5439848356, 44.1363899112], [5.4547151333, 44.1192261325], [5.3832371389, 44.1552848108], [5.3845269212, 44.2010493372], [5.154899666, 44.2309414699], [5.1497309929, 44.2820864933], [5.0605607255, 44.3081371306], [4.8140898311, 44.2323147808], [4.762254989, 44.3253816215], [4.6790253293, 44.3204902352], [4.6492274235, 44.2703598077], [4.7220708851, 44.1874207076], [4.7074595244, 44.1036697441], [4.7879793576, 44.0650567756], [4.8421001716, 43.9864735428], [4.690546281, 43.8838986231], [4.5930346527, 43.6874596668], [4.4872344747, 43.6992413983], [4.4093533628, 43.5611268519], [4.2381030309, 43.497625146], [4.230280885, 43.4601836607]], [[5.0178344378, 43.469321193], [5.0154635062, 43.5297188593], [5.1086615061, 43.5254968155], [5.1496876212, 43.4570266581], [5.0703896716, 43.4002025922], [5.0178344378, 43.469321193]]]]}";43.9563023543, 6.05848222392
